"","source","id","order","lat","lon","latlon_q","horizon","depth1","depth2","total_depth","bulk_density","cf","cconc","ccontent_1m","depth_100","bd_filled","horizon_simple","cf_1_values","ccontent","carbon_stock","carbon_stock_1M"
"133","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","Bfhgj2",-55,-45,10,0.86,45,3.3,1560.9,10,"yes","B",45,1560.9,28.38,13423.74
"134","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","BCd",-70,-55,15,1.71,44,0.93,1335.852,15,"yes","B",44,1335.852,23.8545,34264.6038
"135","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","C",-70,-70,0,NA,0,0.39,NA,0,"no","C",0,NA,NA,NA
"136","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","LF",7.5,10,2.5,0.14,0,46.61,1631.35,2.5,"yes","L",0,1631.35,16.3135,570.9725
"137","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","H",0,7.5,7.5,0.14,0,43.16,4531.8,7.5,"yes","H",0,4531.8,45.318,4758.39
"138","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Ae",-5,0,5,1.31,22,1.16,592.644,5,"yes","A",22,592.644,7.598,3881.8182
"139","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bfh",-20,-5,15,1.46,32,2.98,4437.816,15,"yes","B",32,4437.816,65.262,97188.1704
"140","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bf1",-35,-20,15,1.46,36,2.59,3630.144,15,"yes","B",36,3630.144,56.721,79500.1536
"141","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bf2",-50,-35,15,1.46,35,1.63,2320.305,15,"yes","B",35,2320.305,35.697,50814.6795
"142","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bf3",-65,-50,15,1.46,34,0.85,1228.59,15,"yes","B",34,1228.59,18.615,26906.121
"143","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bf4",-80,-65,15,1.46,43,1.96,2446.668,15,"yes","B",43,2446.668,42.924,53582.0292
"144","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bfgj1",-95,-80,15,1.46,33,2.77,4064.421,15,"yes","B",33,4064.421,60.663,89010.8199
"145","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bfgj2",-110,-95,15,1.46,33,3.92,1917.272,15,"yes","B",33,5751.816,85.848,41988.2568
"146","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","C",-110,-110,0,NA,0,0.43,NA,10,"no","C",0,NA,NA,NA
